Dish Name,Genre,Ingredients,Steps
Thepla,Spiced Flatbread,"Whole wheat flour, fenugreek leaves, yogurt, spices","1. Mix flour, spices, yogurt, and fenugreek leaves to form dough. 2. Rest for 30 minutes. 3. Roll out thin circles. 4. Cook on a tawa with little oil until golden brown. 5. Serve with pickles and curd."
Kulcha,Leavened Bread,"All-purpose flour, yogurt, baking powder, salt, milk, stuffing (potato/paneer)","1. Mix flour, baking powder, salt, and yogurt to form dough. 2. Rest for 1 hour. 3. Roll out dough, add stuffing, fold and roll out again. 4. Cook in an oven or on a tawa until golden brown. 5. Brush with butter and serve."
Puri,Deep-fried Bread,"Whole wheat flour, water, salt, oil","1. Mix flour, salt, and water to form a firm dough. 2. Roll into small discs. 3. Deep-fry in hot oil until puffed and golden. 4. Drain excess oil and serve hot. 5. Best served with potato curry or halwa."
Missi Roti,Spiced Flatbread,"Gram flour, whole wheat flour, spices, yogurt, water","1. Mix gram flour, wheat flour, spices, and yogurt to make dough. 2. Roll out into thick rotis. 3. Cook on a hot tawa with ghee. 4. Serve hot with pickles and butter."
Luchi,Bengali Fried Bread,"All-purpose flour, ghee, salt, water","1. Mix flour, ghee, and salt; add water to form dough. 2. Rest for 30 minutes. 3. Roll out into small circles. 4. Deep-fry in hot oil until puffed and golden. 5. Serve hot with aloo dum or cholar dal."
Makki ki Roti,Cornmeal Flatbread,"Cornmeal (makki ka atta), water, salt, ghee",1. Mix cornmeal and salt with warm water to form dough. 2. Roll out into thick rotis using a rolling pin or hands. 3. Cook on a tawa with ghee until golden brown. 4. Serve hot with sarson da saag.
Idli,Breakfast,"Rice, urad dal, salt, water","1. Soak rice and urad dal separately for 6 hours. 2. Grind them to a smooth batter and ferment overnight. 3. Add salt, mix well, and pour into idli molds. 4. Steam for 10-12 minutes until cooked. 5. Serve hot with chutney and sambar."
Dosa,Breakfast,"Rice, urad dal, fenugreek seeds, salt, water","1. Soak rice, urad dal, and fenugreek seeds for 6 hours. 2. Grind them into a smooth batter and ferment overnight. 3. Add salt and mix well. 4. Heat a tawa, spread a ladle of batter thinly. 5. Drizzle oil, cook until golden, and serve with chutney."
Sambar,Curry,"Toor dal, tamarind, mixed vegetables, sambar powder, mustard seeds, curry leaves",1. Cook toor dal until soft and mash it. 2. Boil mixed vegetables with tamarind extract. 3. Add sambar powder and cooked dal. 4. Temper mustard seeds and curry leaves in oil. 5. Pour the tempering into the sambar and simmer.
Rasam,Soup,"Tamarind, tomatoes, rasam powder, garlic, mustard seeds, curry leaves","1. Soak tamarind in water and extract juice. 2. Add chopped tomatoes, rasam powder, and crushed garlic. 3. Boil for 5-7 minutes. 4. Temper mustard seeds and curry leaves in ghee. 5. Pour over rasam and serve hot."
Upma,Breakfast,"Semolina, mustard seeds, curry leaves, green chilies, onions","1. Dry roast semolina until golden. 2. Sauté mustard seeds, curry leaves, chilies, and onions in oil. 3. Add water and bring to a boil. 4. Slowly add roasted semolina while stirring. 5. Cook until thick and serve hot."
Pongal,Breakfast,"Rice, moong dal, black pepper, cumin seeds, ginger, ghee, cashews","1. Dry roast moong dal and cook with rice until soft. 2. Heat ghee, fry black pepper, cumin, and ginger. 3. Add to cooked rice-dal mixture and mix well. 4. Garnish with fried cashews and serve hot."
Curd Rice,Rice Dish,"Rice, curd, green chilies, mustard seeds, ginger, curry leaves","1. Cook rice and let it cool. 2. Mix with curd, salt, and chopped chilies. 3. Temper mustard seeds, ginger, and curry leaves. 4. Mix well and serve chilled."
Avial,Curry,"Mixed vegetables, coconut, curd, curry leaves, coconut oil",1. Boil mixed vegetables until soft. 2. Grind coconut into a paste and add to the vegetables. 3. Cook for 5 minutes and add curd. 4. Drizzle with coconut oil and mix well. 5. Serve hot.
Vada,Snack,"Urad dal, green chilies, ginger, curry leaves, salt, oil","1. Soak urad dal for 4 hours and grind into a thick batter. 2. Add chopped chilies, ginger, curry leaves, and salt. 3. Shape into small doughnuts and deep fry until golden. 4. Serve hot with chutney."
Payasam,Dessert,"Milk, jaggery, rice, cardamom, cashews, raisins, ghee",1. Boil milk and add cooked rice. 2. Stir in jaggery and cardamom. 3. Fry cashews and raisins in ghee. 4. Add to the payasam and serve warm.
Chilli Paneer,Appetizer,"Paneer, bell peppers, onions, soy sauce, garlic, green chilies, cornflour, vinegar","1. Coat paneer cubes in cornflour and fry until golden.
2. Sauté garlic, green chilies, and onions.
3. Add bell peppers and cook for 2 minutes.
4. Add soy sauce, vinegar, and a little water.
5. Mix in the fried paneer and toss well.
6. Cook until sauce thickens.
7. Serve hot with fried rice or noodles."
Gobi Manchurian,Appetizer,"Cauliflower, all-purpose flour, cornflour, soy sauce, ginger-garlic paste, green chilies, spring onions","1. Make a batter with flour, cornflour, salt, and water.
2. Coat cauliflower florets in batter and deep fry.
3. Sauté ginger-garlic paste, green chilies, and spring onions.
4. Add soy sauce and a little water.
5. Toss in fried cauliflower and mix well.
6. Garnish with spring onions and serve."
Hakka Noodles,Main Course,"Noodles, bell peppers, cabbage, carrots, onions, soy sauce, vinegar, garlic, green chilies","1. Boil noodles and drain excess water.
2. Heat oil and sauté garlic and green chilies.
3. Add onions, carrots, cabbage, and bell peppers.
4. Stir-fry for 2 minutes.
5. Add soy sauce, vinegar, and mix well.
6. Add boiled noodles and toss to coat evenly.
7. Serve hot with chili sauce."
Schezwan Fried Rice,Main Course,"Rice, schezwan sauce, garlic, spring onions, carrots, beans, bell peppers, soy sauce","1. Cook and cool the rice.
2. Heat oil and sauté garlic and spring onions.
3. Add carrots, beans, and bell peppers.
4. Stir-fry for 2 minutes.
5. Add schezwan sauce and soy sauce.
6. Mix in the cooked rice and toss well.
7. Serve hot with Manchurian gravy."
Paneer 65,Appetizer,"Paneer, cornflour, all-purpose flour, yogurt, ginger-garlic paste, curry leaves, green chilies","1. Make a batter with flour, cornflour, yogurt, and spices.
2. Coat paneer cubes and deep fry until crisp.
3. Heat oil, sauté curry leaves and green chilies.
4. Add fried paneer and toss well.
5. Serve hot as a starter."
Spring Rolls,Snack,"Spring roll wrappers, cabbage, carrots, bell peppers, soy sauce, garlic, noodles","1. Sauté garlic, cabbage, carrots, and bell peppers.
2. Add cooked noodles and soy sauce.
3. Mix well and let it cool.
4. Fill spring roll wrappers and roll tightly.
5. Deep fry until golden and crisp.
6. Serve with chili sauce."
Chilli Chicken,Main Course,"Chicken, soy sauce, vinegar, green chilies, garlic, onions, bell peppers, cornflour","1. Marinate chicken with soy sauce, vinegar, and cornflour.
2. Deep fry chicken until golden.
3. Sauté garlic, green chilies, onions, and bell peppers.
4. Add soy sauce and fried chicken.
5. Toss well and cook for 2 minutes.
6. Serve hot."
Hot and Sour Soup,Soup,"Cabbage, carrots, mushrooms, soy sauce, vinegar, chili sauce, garlic, pepper","1. Sauté garlic, carrots, and mushrooms.
2. Add vegetable stock and bring to a boil.
3. Add soy sauce, vinegar, and chili sauce.
4. Simmer for 5 minutes.
5. Add pepper and serve hot."
Schezwan Dosa,Breakfast,"Dosa batter, schezwan sauce, onions, capsicum, cheese","1. Heat dosa pan and spread batter.
2. Spread schezwan sauce on top.
3. Add chopped onions, capsicum, and grated cheese.
4. Cook until crispy.
5. Roll and serve hot with chutney."
Veg Manchurian,Main Course,"Cabbage, carrots, all-purpose flour, cornflour, soy sauce, ginger-garlic paste, spring onions","1. Grate cabbage and carrots, mix with flour and cornflour.
2. Shape into balls and deep fry.
3. Sauté ginger-garlic paste, green chilies, and spring onions.
4. Add soy sauce and a little water.
5. Mix in fried balls and cook for 2 minutes.
6. Serve hot with fried rice."
Masala Chaas,Buttermilk,"Curd, water, cumin powder, black salt, green chili, coriander leaves","1. Blend curd and water until smooth.
2. Add cumin powder, black salt, and finely chopped green chili.
3. Garnish with chopped coriander leaves.
4. Serve chilled."
Aam Panna,Mango Drink,"Raw mangoes, sugar, black salt, roasted cumin powder, mint leaves","1. Boil raw mangoes until soft, then peel and extract pulp.
2. Blend with sugar, black salt, and roasted cumin powder.
3. Add water and mix well.
4. Garnish with mint leaves and serve chilled."
Jaljeera,Spiced Water,"Water, mint leaves, coriander leaves, black salt, roasted cumin powder, tamarind pulp","1. Blend mint leaves, coriander leaves, and tamarind pulp.
2. Mix the paste with water.
3. Add black salt and roasted cumin powder.
4. Stir well and serve chilled."
Thandai,Spiced Milk,"Milk, almonds, cashews, poppy seeds, fennel seeds, cardamom, black pepper, saffron, sugar","1. Soak almonds, cashews, poppy seeds, fennel seeds overnight.
2. Blend into a smooth paste.
3. Mix the paste into chilled milk.
4. Add sugar, saffron, and crushed cardamom.
5. Serve chilled with ice cubes."
Sol Kadhi,Coconut Kokum Drink,"Kokum, coconut milk, garlic, green chili, salt, coriander leaves","1. Soak kokum in warm water and extract juice.
2. Mix with coconut milk.
3. Add crushed garlic, chopped green chili, and salt.
4. Garnish with coriander leaves and serve chilled."
Filter Coffee,South Indian Coffee,"Coffee powder, water, milk, sugar","1. Brew coffee using a South Indian filter.
2. Heat milk and mix with brewed coffee.
3. Add sugar as per taste.
4. Serve hot in a steel tumbler."
Nimbu Pani,Lemonade,"Lemon, water, sugar, black salt, mint leaves","1. Squeeze lemon juice into water.
2. Add sugar and black salt, mix well.
3. Garnish with mint leaves.
4. Serve chilled with ice cubes."
Badam Milk,Almond Milk,"Milk, almonds, cardamom, saffron, sugar","1. Soak almonds, peel and blend into a smooth paste.
2. Boil milk and add almond paste.
3. Stir in sugar, cardamom, and saffron.
4. Serve warm or chilled."
Sugarcane Juice,Natural Juice,"Sugarcane, lemon, ginger, black salt","1. Extract juice from sugarcane.
2. Add lemon juice, grated ginger, and black salt.
3. Stir well and serve chilled."
Kesar Pista Lassi,Flavored Yogurt Drink,"Curd, sugar, saffron, pistachios, cardamom","1. Blend curd, sugar, and saffron.
2. Add crushed pistachios and cardamom powder.
3. Serve chilled with ice cubes."
